text	sentiment
(AsíNoMás) Pilotos amenazan con nuevas protestas en contra de Ryanair en Europa  ▶️  url	N
Me resulta difícil de creer que este tipo estuviera en babia respecto del diseño de la CIA para Iberia ejecutado en...  url	NEU
username puente aéreo de las 8am son las 8:30 y aquí seguimos enganchados al finger... pueden hacer su trabajo y vol...  url	N
username username han volado cn su compañía?1experiencia única xasus pasajeros!!Se l recomiendo xa qtomen note y empi...  url	N
username Desde el 18 de noviembre envié todos mis documentos por mail y confirme de recibidos	NEU
El canal Smithsonian reconstruye en vídeo el accidente aéreo de Spanair en Barajas	P
Lo peor del asunto e q username miente. Un día te dicen q ya llegó a Londres y otro q todavía está en Madrid. Creí q eran más confiables	N
Representante de IBERIA anuncia su llegada a Nicaragua durante reunión con representantes de gobierno y del secto...  url	NEU
Viajar con ryanair seria como otra aerolinea cualquiera si no fuera por lo plastas que son con las ventas a bordo y el altavoz a todo taco	N
Llego a Santo Domingo y espero mas de una hora por mis maletas	N
A por el primero del año! London username  url	NEU
Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid  url  url	NEU
Los trabajadores de tierra de Ryanair ya no irán a la huelga este 30 de diciembre  url	NEU
username Si siguen mirando el historial	N
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	P
No contratéis nada con username . Dan un servicio de atención al cliente pésimo y entre ellos e username se...  url	NEU
Ryanair retrasa hasta el 15 enero su cambio en la política de equipaje de mano  url	N
Aquí seguimos username. Seguimos esperando. ¿Va a manifestarse alguien?  url	N
username RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM...  url	N
username hola! Puedo transportar nutella en mi equipaje? Viajo con Iberia. Gracias!	NEU
Hola username al hacer el C/In desde la app	NEU
Esto de las AerolineasLowCost no estará llegando demasiado lejos? 🤪🤪🤪  url	N
Con username	NEU
El personal de tierra de Ryanair en España convoca huelga para el 30 de diciembre	N
pero vosotros os podéis creer que pago un vuelo de iberia para sentarme en el único asiento roto que tienen????	N
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	P
Impresionante la mierda que puede ser a veces viajar con iberia. Cojo el avión con tiempo y reserva de asiento	N
Creo que lo dejaron queriendo para que los dueños de Ryanair se lo metan por el culo. Merecer se lo merecen...me da...  url	N
Los pilotos de Ryanair desconvocan la huelga tras ver reconocidos sus sindicatos  url	NEU
username username username username username username username username...  url	N
Iberia expandirá en verano su frecuencia de vuelos a PuertoRico  url  url	P
14 de septiembre de 1927	N
username RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEMOS y COMPARTAM...  url	N
Con username	NEU
username Chrome 56	N
username si no me responden los demandao	N
username hola puedo sumar km con los vuelos de Iberia? En la página no me permite adresse pendientes	NEU
username no puedo viajar la vuelta ni avisando que no puedo volar la ida. Alguna solución para algo que les genera cero perjuicios? Gracias	N
Así agradece Iberia a sus tripulantes que vuelen el día de Navidad alejados de sus familias...1 triste paquetito de...  url	N
Ryanair analizará con el Consell las ayudas a otras firmas y prevé crecer un 50 % en València  url vía username	P
LogiNewsEs: Iberia lanza nueva ruta a Managua en octubre de 2018  url  url	N
username Hola iberia!!! Que justo el corte de vuelos a barcelona. Mmmm	N
Gracias username por vuestra maravillosa organización y por la media hora de espera de nuestras maletas	N
username Y el sentido común es jamás elegir a Iberia para tu viaje.	N
username De verdad	N
Ryanair reconocerá a los sindicatos de pilotos como interlocutores  url	P
username username username Te felicito Jose.	P
username username username Pero que eso tiene fácil solución. Pagas más y vuela con otra compañía.	P
username username Eso es así!!! Pero es por la proximidad en el teclado	N
username Si fuerais animalistas lo haríais sin más. No por 2000 RT. Eso sí	N
username hoy me comunican	N
username username lo criticamos	NEU
Lufthansa arrebata a Ryanair el liderazgo en pasajeros en Europa  url	NEU
username Si! Si! Es verdad!!!!	P
username Pues nada	N
username Lo he hecho tres veces ya	N
Me pregunto si alguien de IBERIA o  Air Canada estarán buscando mi maleta o estarán tranquilamente preparándose para nochevieja.	N
username Quería saber si es verdad que el IB6673 del 07/12 hace escala en SDQ antes de llegar a CCS. Cuando compré e...  url	NEU
username username username username username Hay un vuelo desde Madrid el viernes a las 12h.	NEU
Llamen a estos que la CGT esta en cualquiera.  url	N
username username A veces me ha pasado. Incluso reservar con  agencia (logitravel) y me cancelaron el viaje porque no podían coger esa tarifa..	N
Ryanair tarda menos de dos horas en amargar la oferta aniversario de Iberia Express  url	P
Le dan ideas a Volaris	N
Señores de username intenten entender el motivo de mi reclamación antes de emitir respuestas estándar. No debo pagar...  url	N
marketing Llega el primer duelodemarcas de MarketingDirecto: Ryanair vs. easyJet - Nuevo año	NEU
username username username username Ahora además han sacado la movida esa de Level	NEU
La matriz de Iberia y British Airways quiere subirse a bordo de la aerolínea Niki  url  url	NEU
username Q es un servicio esencial? De ahora en adelante cualquier paro será calificado así se acabó el derec...  url	N
username Espero que se resuelva en tema cuanto antes Gracias	N
username No puedo volver a los asientos gratis porque parece que está lleno el avión y los que íbamos a coger no est...  url	N
username HolaArgentina quiero viajar con username	NEU
username username Tampoco tienen en cuenta	N
username Pues de momento siguen sin aparecer y son artículos que necesito	N
Podium Podcast e Iberia se alían en la ficción sonora 'Aerolínea Momentos'  url	NEU
Así fue el accidente del vuelo 5022 de Spanair	N
username username El propio montaje jajajajaj	NEU
fraude Denuncian a Ryanair por fraude de ley como una casa”  url	N
username Un dato los canteranos lo pasaron mal cuando jugaron con Cobresal e Iberia en copa Chile...debe venir...  url	NEU
Lo de username con los avios es de una cara como el cemento armado	N
Ryanair busca convertirse en el “Amazon de los viajes” desde sus oficinas en Madrid. Ryanair ya ha inaugurado sus o...  url	P
username me parece mal q el servicio de atencion al cliente con respeto a reclamaciones se este gestionando tan lent...  url	N
username En el call center no atiende nadie!!! Me canse de llamar!!!! Necesito q se contacten conmigo para solucionar este problema!!!!	N
Primer duelodemarcas: Ryanair vs easyJet  url vía username	N
username username Pues a mi les reclame un daño en mi equipaje y no me hicieron ni caso por no rellenar un formula...  url	N
username username 21 días para darte una respuesta sobre un dinero que no deberían haberte quitado? Y cobrar 2...  url	N
username username Hola	N
Por un retraso de una hora de username username en Stanstead	N
Cansado de esperar	N
No hay nada como unas galletas de Palencia para acompañar username AguilarDeCampoo  url	P
¿Están regalando billetes de avión o qué pasa? Todos las historias de intagram de billetes de ryanair.	NEU
username La gente obesa no hace dieta ni para salvarse la vida	P
username username ¡De este fin de semana no pasa! 😍😍90AniversarioIberia username username	NEU
Un hombre desespera y escapa de un avión de Ryanair por la puerta de emergencia  url  url	N
Vuelo asturias madrid no dejan subir equiaje de mano a viajeros a madrid iberia ocu FelizJueves sinvergüenzas	N
Nueva ruta a Copenhague para volar desde Sevilla con Ryanair en marzo  url  url	P
Cuando te toca volar con Ryanair OTGala9  url	N
Famoso username por sus desastres en Servicioalcliente En mi caso me hizo perder una importante conferencia por can...  url	N
Con username	NEU
Super utile😊	P
Después de 25 minutos de espera al 901 de iberia y que te digan que no soluciona tu problema no tiene precio.........  url	N
Si súper puntual 🤣🙄  url	P
Iberia tendrá más vuelos semanales entre San Juan y Madrid  url  url	P
username Quieres que te envié un mensaje directo. Estoy intentando comprar billetes y llevo 2 horas esperando respue...  url	N
username Vuelo 3162 Madrid-Londres gracias	NEU
Iberia recibe un nuevo avión A330-200 y lo bautiza como “Santo Domingo”  url	NEU
Así fue el accidente del vuelo 5022 de Spanair	N
Con username	P
username username RT POR FAVOR: PASAJEROS QUE IBERIA LES DEMORA LA DEVOLUCION DEL DINERO. JODAMOSLOS. RETUITEEM...  url	N
username username username username username username username username username...  url	NEU
Oleada de huelgas en Ryanair estas Navidades  url	N
username Feliz año nuevo IBERIA.	P
username username username username De acuerdo	NEU
Tarifa low cost por supuesto  url	NEU
username Se como funciona el tema de un equipaje perdido	N
Las mejores ofertas de empleo IT de España: Endesa	N
username Muchas Felicidades🎂 y a seguir volando muy alto!!!🎉	P
username una verguenza hay que hacer check in online desde pais destino xq vuestra web no funciona gracias x corregir nada	N
La maravillosa aventura de viajar en avión con la bici	N
Ryanair no se conforma sólo con los vuelos  url  url	NEU
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	P
Así fue el accidente del vuelo 5022 de Spanair	N
Es sacar Ryanair ofertas de vuelos a 5-10€ y no poner nunca Málaga como aeropuerto de salida y si poblachos como Valladolid o Vigo. De risa.	NEU
username Hola! He cambiado la fecha de un billete	NEU
Duda !!! Exceptuando personas mayores y gente con hijos pequeños	NEU
username 14 minutos con el nuevo y en espera	N
username TipicoDeNavidad username perdió mi maleta hace 5 días y no saben dónde está. Tengo medicamentos que no es...  url	N
Amazon	NEU
username  siempre viaje por Iberia.Ahora con profundo dolor no puedo viajar a España por altos costos pasaje.trágico desamparo	N
¿Conseguiré la hazaña que es volar a Tenerife Sur en Ryanair sin encontrarme a nadie?	P
username username username username username username No es por vacilar pero tiene toda la pinta de ser un vueling 😂	N
Así fue el accidente del vuelo 5022 de Spanair	N
username ayudanos a recuperar nuestro equipaje que olvidaron en Madrid. No nos han dado mayor información.	N
username username username username username username username username...  url	P
La polémica esta servida	N
Buen dia username ! Seguimos esperando que nos devuelvan la valija que nos perdieron el sabado 21/10/2017 vuelo IB6845 con recuerdos de viaje	N
username Madrid!! TravelThursday	NEU
Marca de bajo costo de Iberia llegará a Colombia después de 2021  url	NEU
username username Ya se lo podían dar a los comerciales q los venden en los distintos puntos de venta	N
username username username vuelos regulares	N
username username Iberia va ser lo mismo con sus 340 el año que viene. Son aviones que gastan mucho combustible.	N
Stop calefacción del infierno Ryanair.🔥🔥🔥	N
username ATT. AL CLIENTE	N
Ryanair tarda menos de dos horas en amargar la oferta aniversario de Iberia Express  url vía username	P
Con username	P
username Pues Ryanair parece que sigue comprando aviones	P
username username username Además de que aquí no hay un mostrador	N
Q tal?username quería saber si al.comprar un billete en clase turista luego puedo pasarlo a bussines	NEU
Y desde entonces en España 🇪🇸 las distancias comenzaron a medirse en tiempo y no en kilómetros. Felicidades...  url	NEU
Estacionado desde hace casi 10 años en Barajas	N
¿La oficina de username en el aeropuerto de Madrid Barajas tiene algún horario concreto o está abierto 24h? Es por g...  url	NEU
Según username 	NEU
username Pollo	NEU
username username username Gente.. Me podrán ayudar? No puedo desde hace unos días comprar equip...  url	N
escuchando a Jiménez Losantos me entero de que Iberia abre un nuevo vuelo Madrid-S. Francisco. Perfecto para traer a cineastas de vanguardia	P
A quién se le puede reclamar por este retraso? Había pensado ir a la ventanilla de Iberia... DuiARV  url	N
username FELICES FIESTAS Equipo IBERIA   url	NEU
Con username	N
username Manda narices que nos obliguen a meter la maleta en la bodega cuando ahora todos están subiendo sus maletas...  url	N
FelizMartes username  te trae a Madrid gratis !!!  url	P
username username username Yo sé que de pronto	N
username hola	NEU
username oye y para que aerolínea buenas ?	N
No solo en Colombia	N
Con username	P
que lo repario 	NEU
Aquí en el aeropuerto De Santiago de Compostela dentro de un avión de username con un sensor q falla y sin poder vol...  url	N
username username username username username username username username...  url	P
Se ha juntado la oferta de Alsa con la de Ryanair y ahora tengo que decidir si quiero ir a Madrid o al resto del mundo	N
username Hola	P
username he puesto 3 reclamaciones 1-1UMWDL0	N
Ryanair apuntala sus rutas en el Reino Unido ante el 'Brexit' con una licencia  url Politica Ibex35 ultimahora	NEU
username username username username username username username Espero que luego esté...  url	NEU
username Yo soy pobre Pablo...viajo con Ryanair🤣🤣🤣🤣	NEU
username username username Es que en la ruta a NRT se pueden ver cosas muy interesantes además de esa Soyuz	P
username en mismo vuelo emde username peerdieron 15 valijas. Pierden en username valijas a diarui y no las devuelven	N
Una cosa es que no puedas disponer de plazas juntas por falta de espacio	N
Por favor username dejad de ofrecer puente aéreo con username porque el servicio es lamentable. Me asignan un asient...  url	N
username Sevilla	NEU
RT RobertoHermida: UltimaLlamada_ Iberia Y los tiran y todo  url	N
username username por SMS solo me han confirmado estas dos entregas (qué si han llegado)pero el mensaje me lo...  url	N
Los sindicatos de Iberia en Barcelona mantienen la huelga entre este jueves y el domingo   url	NEU
username username a mi me hicieron lo mismo y me la perdieron. username	N
username username La nueva iberia....o como hacer hacer una campaña de marketing para posicionar a la marc...  url	N
username ¿funciona el código QR en una imagen/foto?porque desde la app no me sale dicho código	N
username Y por supuesto habrán al menos otros veintipico días de espera...	N
Iberia apuesta al mercado argentino	P
Oye username 	N
username username username username username username username username username...  url	P
Si no sabéis organizar conexión de vuelos	N
Iberia deja de ponerme público amiga	N
username En esta y en todas las otras. Es absurdo no cuidar de los clientes y tener pequeños grandes detalles con ellos ( nosotros)	N
username hay algún error en vuestra página web? Al escribir origen	N
Cómo me cuida la tripulación de .username 6252 🙏 TrendingNow nycgo visitspain  url	P
username Estoy sorprendida por tanta quejadera de una nuestras aerolineas	P
En 2018	P
username username Pues vaya con los “vuelos críticos”... habrá que evitar volarlos con username entonces para...  url	N
Así se bajó un pasajero de RyanAir harto de esperar para desembarcar  url via Hipertextual  url	N
username Iberia y su filial Vueling q excelente experiencia en mis dos viajes a Europa	P
Gracias Ryanair por hacerme esperar dos horas más.	N
Madre mía el azafato de Iberia😍😍	P
Iberia Express añade Palermo y Mykonos a sus destinos de 2018  url  url	P
Como ryanair me cancele el vuelo a Milan...  url	N
username Decir que username (El Niño de clase desordenado del que todos se quejan) es el único que a cumplido su prom...  url	P
username username username username Muchas gracias	NEU
username username El problema es que username se cree intocable. Yo los evito y a ser posible elijo username 	N
Las empresas Iberia y Nissan	NEU
Frío fuselaje	NEU
Esperando q el puto username despegue y se porte como debe  url	N
username username username No va a quedar nada en pie.	N
Hace 90 años Iberia unió Madrid y Barcelona por 163 pesetas. ¿Cuánto costaría hoy ese billete?  url vía username	NEU
De puta madre que haya huelga en ryanair a partir del 20 de diciembre oye. Cuatro meses sin pisar casa ni ver a un...  url	N
Nos vamos de viaje para Roma en Iberia  url	P
username username username username username username username username username...  url	NEU
Es el Momento de Colombia  url username username username username...  url	NEU
username username No sabéis lo que es volar hasta que montáis en Ryanair.	P
Iberia y Air Europa lanzan sus rebajas con vuelos a Europa desde 29 euros  url vía username	P
username username Solamente he viajado una sola vez por Iberia y viaje desde San Juan	N
Consulta la lista de vuelos cancelados por Ryanair  url	NEU
El primer vuelo de Iberia	N
username si es equipaje de mano es equipaje de mano. Si no quiero facturar mi maleta es para no tener que esperar en...  url	N
username username username Sarna con gusto no pica 😆😆😆	NEU
username Me ha funcionado Vanish y el viejo y noble Iberia. Prueba!!	P
username que azafatas tan serviciales teneis que ven que tu maleta no cabe en tu compartimento porque hay maletas qu...  url	N
AyTalento lasubcontrata AiTalento Ryanair reconocerá a los sindicatos de pilotos para evitar huelgas en Navidad...  url	NEU
Vuelos IB3194 31DEC MAD MUC e IB3193 01JAN MUC MAD mis más sinceras felicitaciones a su comandante	P
Mi flamante equipaje donado por mi equipo username llega destruido a ecuador. Que tristeza saber que con...  url	N
username username username username  ya es genéticamente pésima... consiguieron empeorarla con el engendro Level ...	N
Iberia se la tiene jurada al ciclista Iván Cortina	NEU
Con username	N
Black Friday. Ryanair. Miro fechas y sitios. Miro mi calendario de exámenes. Lloro.	P
username ... estoy harta de viajar con Ryanair (por harta entiende que todas mis experiencias volando han sido con e...  url	N
IB8312 Retraso de 3 horas sin notificarme hasta llegar al aeropuerto y la solución de username es un voucher para la...  url	N
username Gracias a vosotros por ser de los pocos en mantener esta bestia en el aire!!	P
calvin harris volando con ryanair menudo raticate	NEU
Iberia inaugura un nuevo espacio Premium para sentirte como una reina o un rey  url  url	P
El Sepla entra en Ryanair y busca un convenio para la 'low cost' en España  url vía username	NEU
Amigos de username menudos impresentables	N
username Hola Iberia	NEU
¿¿¿puede ryanair dejar de hacerme falsas ilusiones poniendo las idas desde seis euros y las vueltas a más de cien????	N
username OK.  Mensaje enviado.	N
ÚLTIMA HORA | Convocada una huelga del personal de tierra de Ryanair para el próximo 30 de diciembre  url	N
username HolaArgentina vamos x el viaje si si	NEU
Vamos en asientos separados en el avión porque Ryanair saca la rata que hay en mí.	N
username Ya saben lo q tienen q hacer los de la Oferta de trabajo con Ryanair... Otra cosa es q estén dispuest...  url	N
Hola username	N
Atención viajeros...  url	NEU
username username Al mio le encanta volar	NEU
username gracias a vuestra inutilidad volvere a facebook	N
Oye que el domingo cojo yo un avion😅 guardarme alguno no???😂😇  url	N
username Ahora	N
Recordatorio: jamás voléis con Iberia.	N
Pilotos irlandeses de Ryanair desconvocan la huelga para el 20 de diciembre  url	NEU
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	NEU
username ¿Cómo  es posible que sen la web	N
username username Iberia siempre cumple! Gracias a Ellos muchos galgos rescatados viajaron a otros países dónde ya...  url	P
username En Iberia es bastante común también.	NEU
CAMBIO DE DIRECTIVOS	NEU
Mi mamá no soporta a Bunbury porque username  lo escuchaba tanto que la hartó. Muchos años después llega a su casa...  url	N
COSEP los vuelos por IBERIA podría ayudar a enviar carga a otros países con mayor facilidad y más económicos.  url	NEU
username Ya van 3 dias y contando y ninguna informacion sobre mi equipaje. Los compañeros no andan haciendo nada por lo que veo.	N
Hola username 	NEU
A ver si los de Ryanair se enrollan y me mandan 2000 viajes gratis	N
username Hola el asiento 12A de Ryanair es una buena opción?	NEU
username LA PEOR ATENCION TELEFONICA tengo desde el 20dic intentando cambiar un billete y todos los operadores me ha...  url	N
Ryanair estrena nueva ruta entre Valencia y Palermo con una oferta de billetes desde 29	P
username vergonzoso iberia q no dejan subir la maleta a los que somos del grupo 1 y embarcamos los primeros. No dan...  url	N
He cogido 76 vuelos en lo que va de 2017	P
Asientos en los aviones cada vez más pequeños	N
Por allí estaremos la semana que viene! Mucha suerte a todos los participantes :3  url	NEU
Aerolínea Ryanair reconoce sindicatos para evitar huelgas  url  url	NEU
username username HolaArgentina me encantaría conocerte	P
Así fue el accidente del vuelo 5022 de Spanair	N
username despues de esperar 25 minutos dentro del bus-transfer al lado del avion mientras subian maletas y trasteaba...  url	N
username username Vamos 😎	P
username username por esas casualidades de la vida viajera	NEU
TURQUÍA AVIACIÓN - Iberia y otras nueve compañías cancelan vuelos a Turquía por el descenso del turismo...  url	NEU
username En Wallapop están aún más baratos los que regalaron en el vuelo de Iberia 😊	N
Pues yo a Bruselas fui con Ryanair y bien barato 🤷🏻	P
👋🏽 username 1vuelo cancelado sin previo aviso	N
username username username username username username username username username username...  url	P
username hola hoy he presenciado una cosa horrible. A señora de 70 años la han llevado en silla de ruedas a la puert...  url	N
username username Sabré por experiencia	P
Otra vez tarde? 🙄 el último ryanair? ryanair?  url	N
Entendemos todos lo que pasó menos username  url	N
username PERO SI ERA LA WEB DE IBERIA COMO NO TE VAS A FIAR!!!11111	N
Norwegian lanza vuelos low cost desde Madrid a Estados Unidos para competir con Iberia. La aerolínea escandinava po...  url	NEU
username El otro día pillé por 35€ ida y vuelta a Milán. Era el más barato que había en Ryanair.	P
username hola	NEU
Lindo (pero algo trágico)	N
Siempre quise tener una maleta naranja para volver locos a los azafatos de Iberia y que en 5 minutos me casquen 3 p...  url	NEU
username Pues la vinoteca la habéis orientado al sol matutino.	NEU
Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡...  url	N
Creo que quien más me quiere es Ryanair que me ha felicitado la Navidad siete veces ya	N
Yo me pregunto como va la búsqueda por parte de username de lamaleta de username No le pueden hacer esto a username rubijarena	N
Gracias a username por hacer de sus vuelos toda una tortura para quienes midan más de 1	NEU
username Me alegro mucho capitán	P
Ya van 40 minutos ¿Adónde os paso la factura de la llamada	N
username cómo es posible que el vuelo IB0513 de Coruña a Madrid lleve overbooking sieeeempreeee?	N
Hemos pagado un suplemento a ryanair que vienen unos señores a casa y nos hacen la maleta	P
El personal de tierra de Ryanair en España convoca huelga el próximo día 30 de diciembre  url vía username	NEU
ANTES D NARNIA	N
Acabo de hacer la compra de mi vida! 	N
username Nuestro avión salía pero se retrasó otro vuelo y nos quedamos en tierra. Así lo comunicásteis por megafonía...  url	N
